,year,density,centralization.degree,centralization.closeness,hubscore.eigenvalue
2,1947,0.2,0.8,1,4
3,1948,0.333333333,0.666666667,1,2
4,1949,0.1,0.9,1,9
5,1950,0.090909091,0.909090909,1,10
6,1951,0.076923077,0.923076923,1,12
7,1952,0.076923077,0.923076923,1,12
8,1953,0.071428571,0.928571429,1,13
9,1954,0.052631579,0.947368421,1,18
10,1955,0.05,0.95,1,19
11,1956,0.055555556,0.944444444,1,17
12,1957,0.058823529,0.941176471,1,16
13,1958,0.052631579,0.947368421,1,18
14,1959,0.045454545,0.954545455,1,21
15,1960,0.05,0.95,1,19
16,1961,0.037634409,0.762365591,0.113674603,26.34590301
17,1962,0.03125,0.61391129,0.053286884,20.35234996
18,1963,0.027027027,0.702702703,0.066071791,27.22001757
19,1964,0.026990553,0.657219973,0.052286358,26.65469776
20,1965,0.029871977,0.862019915,0.178163847,34.39389725
21,1966,0.025551684,0.632984901,0.043542204,28.24601178
22,1967,0.024242424,0.748484848,0.070057882,35.04732322
23,1968,0.022243108,0.602756892,0.028140024,40.16804028
24,1969,0.022144522,0.654778555,0.030469531,57.56740123
25,1970,0.017373461,0.441450068,0.009559828,56.72813619
26,1971,0.01378077,0.388281086,0.006689763,48.01866934
27,1972,0.013566936,0.376909254,0.005883205,58.36705516
28,1973,0.01308204,0.23691796,0.001932044,80.17108915
29,1974,0.012362637,0.261446886,0.002153695,70.56575226
30,1975,0.012486309,0.260240964,0.002179809,71.20971646
31,1976,0.011850649,0.273863636,0.002202685,73.32701749
32,1977,0.01160221,0.23839779,0.001770633,70.24299818
33,1978,0.011839015,0.202850251,0.001463154,62.94102617
34,1979,0.012647899,0.232966136,0.001813977,70.12409692
35,1980,0.010566663,0.341474153,0.011775727,96.82433027
36,1981,0.010234338,0.328000956,0.010190722,93.7790669
37,1982,0.010690663,0.304030149,0.004642419,96.27207188
38,1983,0.010864393,0.22109437,0.002317965,75.95344147
39,1984,0.011058738,0.244043303,0.004391329,83.64452006
40,1985,0.01103284,0.23896716,0.003913584,80.61480203
41,1986,0.011361183,0.254263817,0.003237777,77.71723413
42,1987,0.011132543,0.257288509,0.003048709,78.29261914
43,1988,0.011145997,0.240136054,0.002236137,83.16198426
44,1989,0.010735496,0.216537232,0.002316526,70.51521959
45,1990,0.010229695,0.194648354,0.001755838,71.77947711
46,1991,0.009916195,0.238910096,0.001538109,86.32293891
47,1992,0.009629244,0.219070307,0.002826004,81.58054428
48,1993,0.009256228,0.234333515,0.003799602,91.54003766
49,1994,0.00998671,0.238921587,0.002100353,96.13517553
50,1995,0.00979084,0.207230436,0.001879938,94.4111804
51,1996,0.00961053,0.211666066,0.00339329,92.05114835
52,1997,0.01005516,0.191699226,0.002767305,84.65091492
53,1998,0.0093361,0.2656639,0.005575209,100.3591473
54,1999,0.009191969,0.280603949,0.006590903,121.1421025
55,2000,0.008962387,0.254195507,0.00300136,107.8332849
56,2001,0.00905171,0.279566176,0.001623831,107.3394742
57,2002,0.008526873,0.303973127,0.002895293,114.4667198
58,2003,0.008636519,0.315474153,0.002420639,123.6801963
59,2004,0.008390078,0.284578672,0.002549106,123.2931747
60,2005,0.008113098,0.270112709,0.003281061,109.0349825
61,2006,0.0082782,0.239689279,0.001650769,101.1697036
62,2007,0.007827332,0.284662787,0.001573888,114.4408435
63,2008,0.007746791,0.231297034,0.003518199,103.2884921
64,2009,0.008298755,0.244813278,0.001878984,101.6529342
65,2010,0.008473682,0.2562322,0.002872168,106.1698893
66,2011,0.009718906,0.274684764,0.002875076,116.2998233
67,2012,0.010459172,0.314783547,0.002608761,118.8539262
68,2013,0.009693545,0.256661595,0.001994233,91.91201508
