,year,density,ctrdegree,ctrclose
2,1971,0.0002936,0.038167939,0.00030525
3,1972,0.000357782,0.038401908,0.000309612
4,1973,0.020011056,0.50983969,0.008103532
5,1974,0.018137255,0.500381264,0.007717869
6,1975,0.016631705,0.415992408,0.005219735
7,1976,0.017911877,0.364032567,0.00410737
8,1977,0.018201875,0.3287369,0.00343046
9,1978,0.018456376,0.353165246,0.003804294
10,1979,0.019776286,0.423176734,0.005115845
11,1980,0.017956008,0.626215771,0.022364073
12,1981,0.018985031,0.67192406,0.022463622
13,1982,0.019642857,0.561607143,0.015896317
14,1983,0.020619377,0.549000876,0.010276234
15,1984,0.019976059,0.550576089,0.017013906
16,1985,0.021029874,0.563875786,0.015828255
17,1986,0.021097046,0.554852321,0.013193994
18,1987,0.020599855,0.514431992,0.010796162
19,1988,0.020420349,0.593503702,0.010283832
20,1989,0.02151723,0.523354565,0.011054659
21,1990,0.021296075,0.510349494,0.006927517
22,1991,0.018203503,0.52112234,0.006678497
23,1992,0.018555215,0.48693929,0.008331275
24,1993,0.019238593,0.510491136,0.017197929
25,1994,0.020749782,0.546817786,0.011719876
26,1995,0.021592244,0.554494712,0.008353269
27,1996,0.021331008,0.49758791,0.006697094
28,1997,0.021151586,0.489717979,0.006104951
29,1998,0.021419125,0.526967972,0.007348784
30,1999,0.021414648,0.629379003,0.015890307
31,2000,0.020858928,0.647534854,0.01167344
32,2001,0.020856463,0.608009516,0.013214578
33,2002,0.01950934,0.624055016,0.021926629
34,2003,0.020303538,0.611009593,0.008889391
35,2004,0.020100503,0.618090452,0.008903041
36,2005,0.018388066,0.547938465,0.007933927
37,2006,0.01801939,0.517334145,0.008677795
38,2007,0.017757746,0.489704941,0.007666387
39,2008,0.017363313,0.532141638,0.011142902
40,2009,0.018393511,0.540580848,0.007371377
41,2010,0.01799401,0.54261205,0.013073159
42,2011,0.01859348,0.54390652,0.008520898
43,2012,0.018539508,0.570002159,0.009377462
44,2013,0.018539508,0.538752159,0.007617399
